BT1	105.71	29.46	180.00	MS621FE-3V	BATTCON-6.8MM
C11	79.25	20.32	0.00	100n	C0603K
C12	86.49	16.00	0.00	100n	C0603K
C13	86.36	20.32	0.00	100n	C0603K
C14	79.25	18.29	0.00	100n	C0603K
C15	79.25	13.97	180.00	100n	C0603K
C16	86.61	18.29	0.00	2u2	C0805K
C17	83.06	22.35	180.00	2u2	C0805K
C18	82.30	2.29	180.00	100n	C0603K
C19	52.32	31.62	90.00	10u	0805-CAP
C21	63.50	16.13	180.00	100n	C0603K
C22	63.50	8.23	180.00	100n	C0603K
C23	43.08	13.76	180.00	100n	C0603K
C24	105.41	21.59	180.00	10u	0805-CAP
C3	134.37	33.02	0.00	100n	C0603K
C30	125.48	25.40	180.00	1u	C0603K
C33	105.41	26.80	180.00	100n	C0603K
C34	127.51	27.94	180.00	1u	C0603K
C35	134.37	21.59	0.00	100n	C0603K
C37	138.18	13.97	180.00	1u	C0603K
C38	125.48	13.97	180.00	1u	C0603K
C39	127.25	16.51	180.00	1u	C0603K
C4	82.80	20.32	180.00	100n	C0603K
C40	134.37	10.16	0.00	100n	C0603K
C41	138.18	2.54	180.00	1u	C0603K
C42	125.48	2.54	180.00	1u	C0603K
C43	127.51	5.08	180.00	1u	C0603K
C44	11.68	9.14	0.00	22u	0805-CAP
C45	11.43	6.35	180.00	100n	C0805K
C46	27.94	6.35	270.00	22u	0805-CAP
C47	15.24	2.54	180.00	10n	C0805K
C48	71.37	27.94	90.00	100n	C0603K
C52	73.66	27.94	90.00	100n	C0603K
C53	121.67	25.15	0.00	100n	C0603K
C54	120.65	28.70	270.00	100n	C0603K
C55	121.67	23.11	0.00	10u	0805-CAP
C56	82.80	16.00	180.00	10u	0805-CAP
C57	82.80	18.29	0.00	10u	0805-CAP
C8	138.18	25.40	180.00	1u	C0603K
C9	41.78	17.27	270.00	10u	0805-CAP
CR2	123.44	31.75	90.00	TS4040DILT-2.5 	SOT23_TO-236AB_NEX
